            DEPT        DEPTH          TVD         ROP5         CRPM           GR         A16H         A22H         A28H         A34H         A40H         A16L         A22L         A28L         A34L         A40L         P16H         P22H         P28H         P34H         P40H         P16L         P22L         P28L         P34L         P40L       RES_BD      RES_BIT       RES_BM       RES_BS     RES_RING         RHOB         DRHO         TNPH          PEF         DCAV         UCAV         DHAP         DHAT          ECD       TAB_GR      TAB_DEN      TAB_NEU      TAB_RES   TAB_RES_BD  TAB_RES_BIT   TAB_RES_BM   TAB_RES_BS TAB_RES_RING
       1844.95440   1844.95300   1844.89675    166.48310      0.00000     10.12178      0.27866      0.37795      0.37315      0.24686      0.20991      0.32828      0.38588      0.37307      0.14757      0.19173      0.27328      0.24912      0.26305      0.28653      0.25778      0.30000      0.29772      0.30000      0.50000      0.42255      0.34109      0.43699      0.29982      0.30867      0.29199      1.05973     -0.03136    109.52710      0.19406      -999.25      -999.25   2680.00007      3.00000      -999.25      0.13804      0.21277      0.33069      0.31999      0.01930      0.00721      0.01999      0.02083      0.01869
       1845.10680   1845.08423   1845.04914    135.38010      0.00000     10.53115      0.27863      0.37873      0.37372      0.24686      0.20981      0.32829      0.38590      0.37308      0.14757      0.19174      0.27327      0.24905      0.26290      0.28599      0.25706      0.30000      0.29773      0.30000      0.50000      0.42258      0.34121      0.43746      0.29987      0.30834      0.29205      1.06175     -0.03080    111.36570      0.19808      -999.25      -999.25   2682.00014      3.00000      -999.25      0.14537      0.21953      0.33689      0.32814      0.01744      0.00518      0.01829      0.01911      0.01676
       1845.25920   1845.21472   1845.20152    138.05490      0.00000     10.43898      0.27864      0.37849      0.37352      0.24683      0.20983      0.32827      0.38593      0.37307      0.14757      0.19174      0.27331      0.24904      0.26283      0.28617      0.25763      0.30000      0.29773      0.30000      0.50000      0.42252      0.34124      0.43792      0.29987      0.30809      0.29223      1.06208     -0.03059    114.70160      0.21109      -999.25      -999.25   2682.00014      3.00000      -999.25      0.15422      0.22976      0.34449      0.33657      0.01797      0.00533      0.01880      0.01977      0.01713
       1845.41160   1845.41052   1845.35391    156.04890      0.00000      9.66979      0.27853      0.37803      0.37350      0.24688      0.20985      0.32828      0.38585      0.37306      0.14757      0.19174      0.27344      0.24913      0.26300      0.28644      0.25774      0.30000      0.29772      0.30000      0.50000      0.42256      0.34120      0.43828      0.29932      0.30815      0.29233      1.06419     -0.02966    112.10660      0.20994      -999.25      -999.25   2682.00014      3.00000      -999.25      0.15874      0.23500      0.34861      0.34069      0.01499      0.00214      0.01596      0.01695      0.01417
       1845.56400   1845.56653   1845.50629    116.00240      0.00000      9.97682      0.27851      0.37858      0.37377      0.24692      0.20984      0.32828      0.38590      0.37307      0.14757      0.19174      0.27311      0.24912      0.26321      0.28671      0.25767      0.30000      0.29773      0.30000      0.50000      0.42258      0.34083      0.43776      0.29933      0.30850      0.29234      1.06442     -0.02921    111.37220      0.20534      -999.25      -999.25   2682.00014      3.00000      -999.25      0.16765      0.24333      0.35667      0.34806      0.01542      0.00264      0.01640      0.01736      0.01445
       1845.71640   1845.68066   1845.65868    117.99260      0.00000      9.12845      0.27850      0.37899      0.37379      0.24683      0.20980      0.32827      0.38591      0.37307      0.14757      0.19174      0.27333      0.24914      0.26318      0.28656      0.25742      0.30000      0.29773      0.30000      0.50000      0.42257      0.34056      0.43752      0.29954      0.30882      0.29223      1.06483     -0.02877    119.72010      0.19842      -999.25      -999.25   2680.99938      3.00000      -999.25      0.17727      0.25130      0.36559      0.35616      0.01589      0.00394      0.01685      0.01761      0.01490
       1845.86880   1845.86975   1845.81107    139.39990      0.00000      8.76648      0.27864      0.37889      0.37331      0.24661      0.20977      0.32829      0.38589      0.37307      0.14757      0.19174      0.27334      0.24904      0.26279      0.28591      0.25722      0.30000      0.29772      0.30000      0.50000      0.42257      0.34039      0.43738      0.29986      0.30900      0.29222      1.06287     -0.02974     99.26649      0.19150      -999.25      -999.25   2682.00014      3.00000      -999.25      0.18639      0.26098      0.37375      0.36513      0.01639      0.00528      0.01714      0.01792      0.01542
       1846.02120   1846.00708   1845.96345    139.01090      0.00000      8.03332      0.27852      0.37865      0.37359      0.24672      0.20977      0.32827      0.38594      0.37307      0.14757      0.19174      0.27339      0.24911      0.26294      0.28609      0.25725      0.30000      0.29773      0.30000      0.50000      0.42256      0.34079      0.43722      0.29988      0.30843      0.29233      1.06225     -0.02953    110.87720      0.21106      -999.25      -999.25   2682.99945      3.00000      -999.25      0.19369      0.26868      0.38133      0.37314      0.01653      0.00772      0.01730      0.01814      0.01577
       1846.17360   1846.17297   1846.11584    131.61150      0.00000      9.25875      0.27862      0.37833      0.37328      0.24667      0.20979      0.32826      0.38591      0.37306      0.14757      0.19174      0.27341      0.24902      0.26283      0.28620      0.25751      0.30000      0.29772      0.30000      0.50000      0.42255      0.34103      0.43722      0.29930      0.30801      0.29240      1.06218     -0.02944    112.99610      0.22691      -999.25      -999.25   2682.00014      3.00000      -999.25      0.20292      0.27584      0.38820      0.38029      0.01626      0.00751      0.01709      0.01764      0.01548
       1846.32600   1846.32739   1846.26822    117.64310      0.00000      9.41795      0.27857      0.37837      0.37339      0.24671      0.20979      0.32828      0.38591      0.37307      0.14757      0.19174      0.27320      0.24912      0.26314      0.28650      0.25744      0.30000      0.29772      0.30000      0.50000      0.42259      0.34047      0.43717      0.29903      0.30837      0.29247      1.06201     -0.03060    109.87330      0.21282      -999.25      -999.25   2682.99945      3.00000      -999.25      0.21041      0.28125      0.39624      0.38639      0.01528      0.00638      0.01583      0.01645      0.01444
