TVDepth(m)	Sgh	morph
1924.6596	0	n
1924.812	0	n
1924.9644	0	n
1925.1168	0	n
1925.2692	0	n
1925.4216	0	n
1925.574	0	n
1925.7264	0	n
1925.8788	0	n
1926.0312	0	n
1926.1836	0	n
1926.336	0	n
1926.4884	0	n
1926.6408	0	n
1926.7932	0	n
1926.9456	0	n
1927.098	0	n
1927.2504	0	n
1927.4028	0	n
1927.5552	0	n
1927.7076	0	n
1927.86	0	n
1928.0124	0	n
1928.1648	0	n
1928.3172	0	n
1928.4696	0	n
1928.622	0	n
1928.7744	0	n
1928.9268	0	n
1929.0792	0	n
1929.2316	0	n
1929.384	0	n
1929.5364	0	n
1929.6888	0	n
1929.8412	0	n
1929.9936	0.15009	F
1930.146	0.22771	F
1930.2984	0.19932	F
1930.4508	0.22396	F
1930.6032	0.22969	F
1930.7556	0.20893	F
1930.908	0.23076	F
1931.0604	0.24943	F
1931.2128	0.19252	F
1931.3652	0.23173	F
1931.5176	0.37268	F
1931.67	0.39656	F
1931.8224	0.30162	F
1931.9748	0.25981	F
1932.1272	0	n
1932.2796	0	n
1932.432	0	n
1932.5844	0	n
1932.7368	0	n
1932.8892	0.13808	F
1933.0416	0.2288	F
1933.194	0.17427	F
1933.3464	0.275	F
1933.4988	0.36436	F
1933.6512	0.36475	F
1933.8036	0.31349	F
1933.956	0.28758	F
1934.1084	0.23865	F
1934.2608	0.09409	F
1934.4132	0	n
1934.5656	0	n
1934.718	0	n
1934.8704	0	n
1935.0228	0	n
1935.1752	0	n
1935.3276	0	n
1935.48	0	n
1935.6324	0	n
1935.7848	0.20028	F
1935.9372	0.20024	F
1936.0896	0.20885	F
1936.242	0	n
1936.3944	0	n
1936.5468	0.19209	F
1936.6992	0.18099	F
1936.8516	0.17596	F
1937.004	0.17555	F
1937.1564	0.20944	F
1937.3088	0.20283	F
1937.4612	0.24755	F
1937.6136	0.28142	F
1937.766	0.25188	F
1937.9184	0.26898	F
1938.0708	0.2538	F
1938.2232	0.20896	F
1938.3756	0.22685	F
1938.528	0.2229	F
1938.6804	0.21998	F
1938.8328	0.2823	F
1938.9852	0.26344	F
1939.1376	0.24736	F
1939.29	0.24146	F
1939.4424	0.24458	F
1939.5948	0.20752	F
1939.7472	0.23849	F
1939.8996	0.25744	F
1940.052	0.25814	F
1940.2044	0.31871	F
1940.3568	0.32657	F
1940.5092	0.30291	F
1940.6616	0.34813	F
1940.814	0.33299	F
1940.9664	0.36089	F
1941.1188	0.36737	F
1941.2712	0.30422	F
1941.4236	0.31695	F
1941.576	0.32536	F
1941.7284	0.34721	F
1941.8808	0.34042	F
1942.0332	0.31991	F
1942.1856	0.34709	F
1942.338	0.34543	F
1942.4904	0.31794	F
