            DEPT        DEPTH          TVD         ROP5         CRPM           GR         A16H         A22H         A28H         A34H         A40H         A16L         A22L         A28L         A34L         A40L         P16H         P22H         P28H         P34H         P40H         P16L         P22L         P28L         P34L         P40L       RES_BD      RES_BIT       RES_BM       RES_BS     RES_RING         RHOB         DRHO         TNPH          PEF         DCAV         UCAV         DHAP         DHAT          ECD       TAB_GR      TAB_DEN      TAB_NEU      TAB_RES   TAB_RES_BD  TAB_RES_BIT   TAB_RES_BM   TAB_RES_BS TAB_RES_RING 
       2189.98800   2189.99512   2189.98176    370.01910      0.00000      -999.25      0.27018      0.37345      0.39131      0.23584      0.21527      0.35363      0.42326      0.40521      0.14746      0.19132      0.26365      0.23743      0.25165      0.27909      0.24568      0.30000      0.28924      0.30000      0.50000      0.45078      0.31745      0.50256      0.32016      0.31602      0.29640      1.05978     -0.02424      -999.25      0.86587      -999.25     10.84000      -999.25      -999.25      -999.25      0.02528      0.09139      0.21139      0.20457      0.00693      0.00171      0.00740      0.00786      0.00652
       2190.14040   2190.14063   2190.13416    365.55740      0.00000      -999.25      0.27028      0.37385      0.39119      0.23589      0.21539      0.35362      0.42327      0.40521      0.14746      0.19132      0.26362      0.23736      0.25152      0.27925      0.24618      0.30000      0.28924      0.30000      0.50000      0.45079      0.31758      0.50217      0.31988      0.31579      0.29654      1.05776     -0.02694      -999.25      0.78932      -999.25     10.84000      -999.25      -999.25      -999.25      0.02556      0.09876      0.21778      0.21098      0.00700      0.00175      0.00746      0.00793      0.00653
       2190.29280   2190.26367   2190.28656    357.15300      0.00000     11.19847      0.27023      0.37380      0.39113      0.23576      0.21528      0.35363      0.42325      0.40521      0.14746      0.19132      0.26370      0.23743      0.25158      0.27886      0.24553      0.30000      0.28926      0.30000      0.50000      0.45078      0.31737      0.50151      0.31960      0.31556      0.29669      1.05905     -0.02621    114.14730      0.77992      -999.25     10.84000   3192.99999      2.00000      -999.25      0.02583      0.10708      0.22472      0.21736      0.00704      0.00181      0.00750      0.00792      0.00657
       2190.44520   2190.41748   2190.43896    344.61860      0.00000     10.93184      0.27025      0.37376      0.39116      0.23570      0.21519      0.35363      0.42327      0.40522      0.14746      0.19132      0.26372      0.23742      0.25164      0.27941      0.24617      0.30000      0.28923      0.30000      0.50000      0.45080      0.31707      0.50085      0.31931      0.31551      0.29657      1.05772     -0.02727    107.33760      0.75571      -999.25      -999.25   3191.99923      2.00000      -999.25      0.02612      0.10709      0.23195      0.22431      0.00709      0.00195      0.00750      0.00800      0.00662
       2190.59760   2190.58276   2190.59136    337.07060      0.00000     10.81334      0.27025      0.37387      0.39142      0.23595      0.21538      0.35364      0.42325      0.40522      0.14746      0.19132      0.26359      0.23737      0.25155      0.27883      0.24542      0.30000      0.28922      0.30000      0.50000      0.45081      0.31677      0.50052      0.31944      0.31551      0.29635      1.05797     -0.02664    101.07000      0.76520      -999.25      -999.25   3190.99992      2.00000      -999.25      0.02634      0.10945      0.23939      0.23148      0.00703      0.00204      0.00753      0.00800      0.00662
       2190.75000   2190.75732   2190.74376    330.11330      0.00000     10.70022      0.27031      0.37405      0.39103      0.23569      0.21525      0.35363      0.42326      0.40521      0.14746      0.19132      0.26382      0.23748      0.25153      0.27859      0.24534      0.30000      0.28929      0.30000      0.50000      0.45078      0.31674      0.50029      0.31958      0.31550      0.29613      1.05817     -0.02626    109.69260      0.78067      -999.25      -999.25   3191.99923      2.00000      -999.25      0.03256      0.10928      0.24950      0.23895      0.00708      0.00207      0.00756      0.00798      0.00659
       2190.90240   2190.89575   2190.89616    327.49260      0.00000      9.70911      0.27024      0.37367      0.39113      0.23575      0.21525      0.35364      0.42325      0.40522      0.14746      0.19132      0.26364      0.23742      0.25164      0.27902      0.24555      0.30000      0.28925      0.30000      0.50000      0.45080      0.31677      0.50005      0.31971      0.31603      0.29616      1.05807     -0.02746    130.00000      0.76089      -999.25      -999.25   3192.99999      2.00000      -999.25      0.06778      0.15125      0.25569      0.24902      0.00708      0.00203      0.00750      0.00798      0.00660
       2191.05480   2191.03906   2191.04855    324.69570      0.00000      8.74763      0.27021      0.37359      0.39090      0.23567      0.21525      0.35363      0.42328      0.40522      0.14746      0.19132      0.26363      0.23739      0.25158      0.27896      0.24558      0.30000      0.28921      0.30000      0.50000      0.45079      0.31680      0.49988      0.32001      0.31446      0.29629      1.05737     -0.02862      -999.25      0.72668      -999.25      -999.25   3192.99999      2.00000      -999.25      0.08041      0.15874      0.26180      0.25513      0.00695      0.00193      0.00742      0.00792      0.00652
       2191.20720   2191.17603   2191.20095    321.74480      0.00000      8.24032      0.27026      0.37388      0.39098      0.23565      0.21522      0.35364      0.42320      0.40521      0.14746      0.19132      0.26371      0.23745      0.25161      0.27894      0.24562      0.30000      0.28923      0.30000      0.50000      0.45077      0.31741      0.49973      0.31850      0.31506      0.29641      1.05687     -0.02982    112.26830      0.69978      -999.25      -999.25   3190.99992      2.00000      -999.25      0.08764      0.16597      0.26819      0.26124      0.00686      0.00180      0.00736      0.00778      0.00639
       2191.35960   2191.36279   2191.35335    320.55940      0.00000      8.92740      0.27022      0.37318      0.39083      0.23567      0.21523      0.35363      0.42327      0.40521      0.14746      0.19132      0.26354      0.23725      0.25121      0.27844      0.24558      0.30000      0.28925      0.30000      0.50000      0.45079      0.31599      0.49958      0.31900      0.31579      0.29639      1.05658     -0.02997      -999.25      0.69426      -999.25      -999.25   3191.99923      2.00000      -999.25      0.09494      0.16834      0.27396      0.26772      0.00689      0.00181      0.00730      0.00780      0.00639
       2191.51200   2191.50366   2191.50575    319.52630      0.00000     10.02624      0.27023      0.37336      0.39115      0.23587      0.21534      0.35363      0.42323      0.40521      0.14746      0.19132      0.26369      0.23741      0.25154      0.27895      0.24577      0.30000      0.28927      0.30000      0.50000      0.45077      0.31647      0.49980      0.31947      0.31605      0.29545      1.05630     -0.03031    110.21760      0.68390      -999.25      -999.25   3191.99923      2.00000      -999.25      0.10324      0.16824      0.28033      0.27351      0.00686      0.00185      0.00736      0.00783      0.00644
       2191.66440   2191.64209   2191.65815    318.98580      0.00000      9.77944      0.27032      0.37410      0.39107      0.23567      0.21522      0.35364      0.42326      0.40522      0.14746      0.19132      0.26362      0.23744      0.25168      0.27894      0.24540      0.30000      0.28924      0.30000      0.50000      0.45080      0.31697      0.50018      0.32007      0.31462      0.29571      1.05520     -0.03099    109.32530      0.67323      -999.25      -999.25   3195.00007      2.00000      -999.25      0.10320      0.19237      0.28805      0.27987      0.00690      0.00181      0.00737      0.01084      0.00640
       2191.81680   2191.82764   2191.81055    321.98030      0.00000     11.05304      0.27031      0.37425      0.39127      0.23583      0.21534      0.35363      0.42324      0.40522      0.14746      0.19132      0.26351      0.23738      0.25166      0.27941      0.24608      0.30000      0.28921      0.30000      0.50000      0.45080      0.31722      0.50056      0.31821      0.31486      0.29591      1.05501     -0.03151    130.00000      0.65413      -999.25      -999.25   3193.96595      2.00000      -999.25      0.10561      0.19902      0.29735      0.28763      0.00695      0.00185      0.01041      0.01138      0.00647
