TDEP        DTCO       DTSM       PR         TICO       TISS       TVDBML             VP         VPVS       VS
2099.9125977 -9999      -9999      -9999      -9999      -9999      -96.09309290981007 -9999      -9999      -9999     
2100.065   -9999      -9999      -9999      -9999      -9999      -95.94075039841052 -9999      -9999      -9999     
2100.218   -9999      -9999      -9999      -9999      -9999      -95.78816374855155 -9999      -9999      -9999     
2100.37    -9999      -9999      -9999      -9999      -9999      -95.63582123751262 -9999      -9999      -9999     
2100.522   -9999      -9999      -9999      -9999      -9999      -95.48347872665275 -9999      -9999      -9999     
2100.675   -9999      -9999      -9999      -9999      -9999      -95.33113621597322 -9999      -9999      -9999     
2100.827   -9999      -9999      -9999      -9999      -9999      -95.17854956683418 -9999      -9999      -9999     
2100.979   -9999      -9999      -9999      -9999      -9999      -95.02620705651481 -9999      -9999      -9999     
2101.132   -9999      -9999      -9999      -9999      -9999      -94.87386454637456 -9999      -9999      -9999     
2101.284   -9999      -9999      -9999      -9999      -9999      -94.72152203641423 -9999      -9999      -9999     
2101.437   -9999      -9999      -9999      -9999      -9999      -94.56917952663383 -9999      -9999      -9999     
2101.589   -9999      -9999      -9999      -9999      -9999      -94.41659287839579 -9999      -9999      -9999     
2101.741   -9999      -9999      -9999      -9999      -9999      -94.26425036897513 -9999      -9999      -9999     
2101.894   -9999      -9999      -9999      -9999      -9999      -94.11190785973484 -9999      -9999      -9999     
2102.046   -9999      -9999      -9999      -9999      -9999      -93.95956535067366 -9999      -9999      -9999     
2102.199   -9999      -9999      -9999      -9999      -9999      -93.80697870315636 -9999      -9999      -9999     
2102.351   -9999      -9999      -9999      -9999      -9999      -93.65463619445619 -9999      -9999      -9999     
2102.503   -9999      -9999      -9999      -9999      -9999      -93.50229368593514 -9999      -9999      -9999     
2102.656   -9999      -9999      -9999      -9999      -9999      -93.34995117759442 -9999      -9999      -9999     
2102.808   -9999      -9999      -9999      -9999      -9999      -93.19736453079838 -9999      -9999      -9999     
2102.961   -9999      -9999      -9999      -9999      -9999      -93.04502202281785 -9999      -9999      -9999     
2103.113   -9999      -9999      -9999      -9999      -9999      -92.89267951501641 -9999      -9999      -9999     
2103.265   -9999      -9999      -9999      -9999      -9999      -92.74033700739575 -9999      -9999      -9999     
2103.418   -9999      -9999      -9999      -9999      -9999      -92.58799449995551 -9999      -9999      -9999     
2103.57    -9999      -9999      -9999      -9999      -9999      -92.4354078540614 -9999      -9999      -9999     
2103.723   -9999      -9999      -9999      -9999      -9999      -92.28306534698004 -9999      -9999      -9999     
2103.875   -9999      -9999      -9999      -9999      -9999      -92.13072284008032 -9999      -9999      -9999     
2104.027   -9999      -9999      -9999      -9999      -9999      -91.97838033335978 -9999      -9999      -9999     
2104.18    -9999      -9999      -9999      -9999      -9999      -91.8257936881873 -9999      -9999      -9999     
2104.332   -9999      -9999      -9999      -9999      -9999      -91.67345118182691 -9999      -9999      -9999     
2104.485   -9999      -9999      -9999      -9999      -9999      -91.52110867564689 -9999      -9999      -9999     
2104.637   -9999      -9999      -9999      -9999      -9999      -91.36876616964726 -9999      -9999      -9999     
2104.79    -9999      -9999      -9999      -9999      -9999      -91.21617952519648 -9999      -9999      -9999     
2104.942   -9999      -9999      -9999      -9999      -9999      -91.06383701955706 -9999      -9999      -9999     
2105.094   -9999      -9999      -9999      -9999      -9999      -90.91149451409714 -9999      -9999      -9999     
2105.247   -9999      -9999      -9999      -9999      -9999      -90.75915200881889 -9999      -9999      -9999     
2105.399   -9999      -9999      -9999      -9999      -9999      -90.60680950371938 -9999      -9999      -9999     
2105.552   -9999      -9999      -9999      -9999      -9999      -90.45422286017137 -9999      -9999      -9999     
2105.704   -9999      -9999      -9999      -9999      -9999      -90.30188035543334 -9999      -9999      -9999     
2105.856   -9999      -9999      -9999      -9999      -9999      -90.14953785087481 -9999      -9999      -9999     
2106.009   -9999      -9999      -9999      -9999      -9999      -89.99719534649708 -9999      -9999      -9999     
2106.161   -9999      -9999      -9999      -9999      -9999      -89.84460870367126 -9999      -9999      -9999     
2106.313   -9999      -9999      -9999      -9999      -9999      -89.69226619965421 -9999      -9999      -9999     
2106.466   -9999      -9999      -9999      -9999      -9999      -89.53992369581754 -9999      -9999      -9999     
2106.618   -9999      -9999      -9999      -9999      -9999      -89.38758119216084 -9999      -9999      -9999     
2106.771   -9999      -9999      -9999      -9999      -9999      -89.23499455005715 -9999      -9999      -9999     
2106.923   -9999      -9999      -9999      -9999      -9999      -89.08265204676066 -9999      -9999      -9999     
2107.075   -9999      -9999      -9999      -9999      -9999      -88.93030954364582 -9999      -9999      -9999     
2107.228   -9999      -9999      -9999      -9999      -9999      -88.77796704071058 -9999      -9999      -9999     
2107.38    -9999      -9999      -9999      -9999      -9999      -88.62562453795569 -9999      -9999      -9999     
2107.533   -9999      -9999      -9999      -9999      -9999      -88.47303789675486 -9999      -9999      -9999     
2107.685   -9999      -9999      -9999      -9999      -9999      -88.32069539436149 -9999      -9999      -9999     
2107.838   -9999      -9999      -9999      -9999      -9999      -88.16810875352279 -9999      -9999      -9999     
2107.99    -9999      -9999      -9999      -9999      -9999      -88.01576625149053 -9999      -9999      -9999     
2108.142   -9999      -9999      -9999      -9999      -9999      -87.86342374963738 -9999      -9999      -9999     
2108.295   -9999      -9999      -9999      -9999      -9999      -87.71108124796544 -9999      -9999      -9999     
2108.447   -9999      -9999      -9999      -9999      -9999      -87.55849460785021 -9999      -9999      -9999     
2108.6     -9999      -9999      -9999      -9999      -9999      -87.40615210653942 -9999      -9999      -9999     
2108.752   -9999      -9999      -9999      -9999      -9999      -87.25380960540946 -9999      -9999      -9999     
2108.904   -9999      -9999      -9999      -9999      -9999      -87.10146710445905 -9999      -9999      -9999     
2109.057   -9999      -9999      -9999      -9999      -9999      -86.94912460368943 -9999      -9999      -9999     
2109.209   -9999      -9999      -9999      -9999      -9999      -86.79653796447794 -9999      -9999      -9999     
2109.362   -9999      -9999      -9999      -9999      -9999      -86.64419546406946 -9999      -9999      -9999     
2109.514   -9999      -9999      -9999      -9999      -9999      -86.49185296384178 -9999      -9999      -9999     
2109.666   -9999      -9999      -9999      -9999      -9999      -86.33951046379453 -9999      -9999      -9999     
2109.819   -9999      -9999      -9999      -9999      -9999      -86.18692382530655 -9999      -9999      -9999     
2109.971   -9999      -9999      -9999      -9999      -9999      -86.03458132562041 -9999      -9999      -9999     
2110.124   -9999      -9999      -9999      -9999      -9999      -85.88223882611551 -9999      -9999      -9999     
2110.276   -9999      -9999      -9999      -9999      -9999      -85.72989632679108 -9999      -9999      -9999     
2110.428   -9999      -9999      -9999      -9999      -9999      -85.57730968902662 -9999      -9999      -9999     
2110.581   -9999      -9999      -9999      -9999      -9999      -85.42496719006283 -9999      -9999      -9999     
2110.733   -9999      -9999      -9999      -9999      -9999      -85.27262469128117 -9999      -9999      -9999     
2110.885   -9999      -9999      -9999      -9999      -9999      -85.12028219267867 -9999      -9999      -9999     
2111.038   -9999      -9999      -9999      -9999      -9999      -84.96793969425782 -9999      -9999      -9999     
2111.19    -9999      -9999      -9999      -9999      -9999      -84.81535305739804 -9999      -9999      -9999     
2111.343   -9999      -9999      -9999      -9999      -9999      -84.66301055933833 -9999      -9999      -9999     
2111.495   -9999      -9999      -9999      -9999      -9999      -84.51066806145947 -9999      -9999      -9999     
2111.647   -9999      -9999      -9999      -9999      -9999      -84.35832556376103 -9999      -9999      -9999     
2111.8     -9999      -9999      -9999      -9999      -9999      -84.20573892762563 -9999      -9999      -9999     
2111.952   -9999      -9999      -9999      -9999      -9999      -84.05339643028961 -9999      -9999      -9999     
2112.105   -9999      -9999      -9999      -9999      -9999      -83.9010539331336 -9999      -9999      -9999     
2112.257   -9999      -9999      -9999      -9999      -9999      -83.74871143615839 -9999      -9999      -9999     
2112.41    -9999      -9999      -9999      -9999      -9999      -83.59612480074654 -9999      -9999      -9999     
2112.562   -9999      -9999      -9999      -9999      -9999      -83.44378230413373 -9999      -9999      -9999     
2112.714   -9999      -9999      -9999      -9999      -9999      -83.29143980770141 -9999      -9999      -9999     
2112.867   -9999      -9999      -9999      -9999      -9999      -83.13909731144993 -9999      -9999      -9999     
2113.019   -9999      -9999      -9999      -9999      -9999      -82.98675481537887 -9999      -9999      -9999     
2113.172   -9999      -9999      -9999      -9999      -9999      -82.83416818087387 -9999      -9999      -9999     
2113.324   -9999      -9999      -9999      -9999      -9999      -82.68182568516481 -9999      -9999      -9999     
2113.476   -9999      -9999      -9999      -9999      -9999      -82.52948318963659 -9999      -9999      -9999     
2113.629   -9999      -9999      -9999      -9999      -9999      -82.37714069428965 -9999      -9999      -9999     
2113.781   -9999      -9999      -9999      -9999      -9999      -82.22455406050912 -9999      -9999      -9999     
2113.934   -9999      -9999      -9999      -9999      -9999      -82.07221156552376 -9999      -9999      -9999     
2114.086   -9999      -9999      -9999      -9999      -9999      -81.91986907071924 -9999      -9999      -9999     
2114.238   -9999      -9999      -9999      -9999      -9999      -81.76752657609646 -9999      -9999      -9999     
2114.391   -9999      -9999      -9999      -9999      -9999      -81.61493994304082 -9999      -9999      -9999     
2114.543   -9999      -9999      -9999      -9999      -9999      -81.46259744877916 -9999      -9999      -9999     
2114.696   -9999      -9999      -9999      -9999      -9999      -81.31025495469923 -9999      -9999      -9999     
2114.848   -9999      -9999      -9999      -9999      -9999      -81.15791246080019 -9999      -9999      -9999     
2115       -9999      -9999      -9999      -9999      -9999      -81.00556996708203 -9999      -9999      -9999     
2115.153   -9999      -9999      -9999      -9999      -9999      -80.85298333493283 -9999      -9999      -9999     
2115.305   -9999      -9999      -9999      -9999      -9999      -80.70064084157707 -9999      -9999      -9999     
2115.458   -9999      -9999      -9999      -9999      -9999      -80.54805420979136 -9999      -9999      -9999     
2115.61    -9999      -9999      -9999      -9999      -9999      -80.39571171679764 -9999      -9999      -9999     
2115.762   -9999      -9999      -9999      -9999      -9999      -80.24336922398477 -9999      -9999      -9999     
2115.915   -9999      -9999      -9999      -9999      -9999      -80.09102673135364 -9999      -9999      -9999     
2116.067   -9999      -9999      -9999      -9999      -9999      -79.9384401002937 -9999      -9999      -9999     
2116.22    -9999      -9999      -9999      -9999      -9999      -79.78609760802374 -9999      -9999      -9999     
2116.372   -9999      -9999      -9999      -9999      -9999      -79.63375511593632 -9999      -9999      -9999     
2116.524   -9999      -9999      -9999      -9999      -9999      -79.48141262402942 -9999      -9999      -9999     
2116.677   -9999      -9999      -9999      -9999      -9999      -79.32907013230377 -9999      -9999      -9999     
2116.829   -9999      -9999      -9999      -9999      -9999      -79.17648350215077 -9999      -9999      -9999     
2116.982   -9999      -9999      -9999      -9999      -9999      -79.02414101078759 -9999      -9999      -9999     
2117.134   -9999      -9999      -9999      -9999      -9999      -78.87179851960528 -9999      -9999      -9999     
2117.286   -9999      -9999      -9999      -9999      -9999      -78.71945602860426 -9999      -9999      -9999     
2117.439   -9999      -9999      -9999      -9999      -9999      -78.56686939917834 -9999      -9999      -9999     
2117.591   -9999      -9999      -9999      -9999      -9999      -78.41452690853942 -9999      -9999      -9999     
2117.744   -9999      -9999      -9999      -9999      -9999      -78.26218441808301 -9999      -9999      -9999     
2117.896   -9999      -9999      -9999      -9999      -9999      -78.10984192780711 -9999      -9999      -9999     
2118.049   -9999      -9999      -9999      -9999      -9999      -77.95725529910614 -9999      -9999      -9999     
2118.201   -9999      -9999      -9999      -9999      -9999      -77.80491280919351 -9999      -9999      -9999     
2118.353   -9999      -9999      -9999      -9999      -9999      -77.65257031946182 -9999      -9999      -9999     
2118.506   -9999      -9999      -9999      -9999      -9999      -77.50022782991141 -9999      -9999      -9999     
2118.658   -9999      -9999      -9999      -9999      -9999      -77.34788534054187 -9999      -9999      -9999     
2118.811   -9999      -9999      -9999      -9999      -9999      -77.1952987127496 -9999      -9999      -9999     
2118.963   -9999      -9999      -9999      -9999      -9999      -77.04295622374384 -9999      -9999      -9999     
2119.115   -9999      -9999      -9999      -9999      -9999      -76.89061373491856 -9999      -9999      -9999     
2119.268   -9999      -9999      -9999      -9999      -9999      -76.7382712462754 -9999      -9999      -9999     
2119.42    -9999      -9999      -9999      -9999      -9999      -76.58568461920987 -9999      -9999      -9999     
2119.573   -9999      -9999      -9999      -9999      -9999      -76.43334213093009 -9999      -9999      -9999     
2119.725   -9999      -9999      -9999      -9999      -9999      -76.28099964283034 -9999      -9999      -9999     
