TDEP        DTCO       DTSM       PR         TICO       TISS       VP         VPVS       VS
2126.1320  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2126.2844  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2126.4368  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2126.5892  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2126.7416  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2126.894   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2127.0464  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2127.1988  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2127.3512  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2127.5036  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2127.656   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2127.8084  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2127.9608  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2128.1132  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2128.2656  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2128.418   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2128.5704  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2128.7228  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2128.8752  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2129.0276  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2129.18    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2129.3324  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2129.4848  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2129.6372  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2129.7896  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2129.942   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2130.0944  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2130.2468  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2130.3992  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2130.5516  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2130.704   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2130.8564  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2131.0088  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2131.1612  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2131.3136  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2131.466   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2131.6184  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2131.7708  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2131.9232  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2132.0756  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2132.228   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2132.3804  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2132.5328  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2132.6852  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2132.8376  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2132.99    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2133.1424  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2133.2948  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2133.4472  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2133.5996  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2133.752   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2133.9044  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2134.0568  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2134.2092  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2134.3616  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2134.514   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2134.6664  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2134.8188  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2134.9712  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2135.1236  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2135.276   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2135.4284  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2135.5808  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2135.7332  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2135.8856  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2136.038   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2136.1904  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2136.3428  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2136.4952  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2136.6476  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2136.8     -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2136.9524  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2137.1048  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2137.2572  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2137.4096  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2137.562   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2137.7144  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2137.8668  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2138.0192  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2138.1716  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2138.324   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2138.4764  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2138.6288  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2138.7812  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2138.9336  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2139.086   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2139.2384  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2139.3908  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2139.5432  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
